,name,x,y,start date,stop date
293,CHC16S1T,547011.7636790827,4207431.654489309,2016-05-04,2016-06-21
294,CHC16LSS,545229.7209876258,4207036.459431333,2016-06-21,2016-06-21
295,CHC16TDL,545219.4113332377,4207027.525805663,2016-05-05,2016-06-21
296,SPA14N2M,549819.6297557111,4212096.339383456,2014-02-27,2014-06-23
297,SPA14N2T,549819.3672361734,4212096.226820984,2014-02-27,2014-03-15
298,SPA14S1T,547018.454301332,4207428.364291365,2014-02-27,2014-06-23
299,SPA14N1T,548501.3834906183,4214399.435633041,2014-02-27,2014-06-23
300,SPB14N1T,548475.1133032771,4214421.692961779,2014-06-24,2014-09-16
301,SPB14N2M,550015.9701709916,4211526.1046159845,2014-06-24,2014-09-16
302,SPB14N2T,549981.712644666,4211518.016546973,2014-06-24,2014-09-16
303,SPB14S1T,546990.3518098202,4207430.31072934,2014-06-24,2014-09-16
304,SPC14N1T,548524.8390695585,4214393.250637138,2014-09-18,2014-12-01
305,SPC14N2M,549887.4452292663,4212183.079788821,2014-09-18,2014-12-01
306,SPC14N2T,549887.4452292663,4212183.079788821,2014-09-18,2014-12-01
307,SPC14S1T,546984.3267441398,4207424.728204441,2014-09-18,2014-12-01
308,SPD15N1T,548477.2783494921,4214411.608600954,2015-02-04,2015-04-04
309,SPD15N2T,549978.4935090991,4211513.558478813,2015-02-04,2015-04-14
310,SPD15S1T,546987.0601281534,4207422.635744114,2015-02-04,2015-04-14
311,ERO19PCT,554534.6655541053,4209799.689537243,2019-06-11,2019-08-19
312,ERO19PBM,553399.4438641989,4215269.030557938,2019-06-11,2019-08-19
313,ERO19PHT,553397.8054187252,4215224.635842202,2019-06-11,2019-08-19
314,ERO19PST,553230.7217699519,4214769.716507377,2019-06-11,2019-08-19
315,ERO19GBM,584089.6871158946,4219199.018321801,2019-06-11,2019-08-20
316,ERO19GHT,584082.8670139385,4219163.326505026,2019-06-11,2019-08-20
317,ERO19GST,583631.1162547681,4218914.426085889,2019-06-11,2019-08-20
318,I_Spring_P1,571905.9113664203,4160351.766621277,2019-04-01,2019-05-31
319,I_Spring_P2,573131.5034071857,4160346.9507610234,2019-04-01,2019-05-31
320,I_Spring_P3,567858.7161963651,4160104.62799196,2019-04-01,2019-05-31
321,I_Spring_P4b,571946.9494208894,4157451.751273807,2019-04-01,2019-05-31
322,I_Winter_P1,571924.4328588769,4160354.146356729,2019-01-01,2019-02-28
323,I_Winter_P2,573131.5034071857,4160346.9507610234,2019-01-01,2019-02-28
324,I_Winter_P3,567858.7161963651,4160104.62799196,2019-01-01,2019-02-28
325,I_Winter_P4b,571953.1125928452,4157454.0237993444,2019-01-01,2019-02-28
326,I_Summer_P1,571927.9548037348,4160355.2864603065,2018-07-01,2018-08-31
327,I_Summer_P2,573131.5034071857,4160346.9507610234,2018-07-01,2018-08-31
328,I_Summer_P3,567858.7161963651,4160104.62799196,2018-07-01,2018-08-31
329,I_Summer_P4a,569587.1231446558,4160264.3016799456,2018-07-01,2018-08-31
330,I_Edens_Landing,565150.025,4165573.093,2021-10-01,2022-04-30
331,I_Hunters_Point,554445.096,4172810.37,2021-10-01,2022-04-30
332,I_Richmond,550271.981,4199565.911,2021-10-01,2022-04-30
333,I_Petaluma,550062.468,4208031.705,2021-10-01,2022-04-30
334,Alcatraz_Island,550895.207,4186802.757,,
335,Alviso_Slough,588609.404,4144155.718,,
336,Benicia_Bridge,576727.633,4211168.734,,
337,Carquinez_Bridge,568035.447,4212910.181,,
338,Channel_Marker_01,549795.096,4210898.171,,
339,Channel_Marker_09,548985.668,4215793.98,,
340,Channel_Marker_17,581588.298,4148399.026,,
341,Corte_Madera_Creek,542639.002,4199638.76,,
342,Dumbarton_Bridge,577828.885,4151167.767,,
343,Golden_Gate_Bridge,546500.586,4185790.461,,
344,Mallard_Island,594840.467,4211112.642,,
345,Mare_Island,563679.08,4218392.274,,
346,Point_San_Pablo,550215.074,4202054.975,,
347,Richmond_Bridge,548648.44,4198778.511,,
348,San_Mateo_Bridge,566242.864,4159974.396,,
