#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 07 07 50  10  1.6  2.1  1.80 12.90  7.57 294 1021.8  11.4  13.1 999.0 99.0 99.00
2018 01 07 08 50 347  1.9  2.7  1.81 12.12  7.44 274 1021.4  11.3  13.1 999.0 99.0 99.00
2018 01 07 09 50  47  1.4  2.4  1.88 11.43  7.77 288 1021.3  11.4  13.0 999.0 99.0 99.00
2018 01 07 10 50  71  2.6  3.8  1.51 10.81  7.15 286 1021.0  11.3  13.0 999.0 99.0 99.00
2018 01 07 11 50  63  5.1  6.5  1.54 10.81  7.28 283 1020.6  11.4  12.9 999.0 99.0 99.00
2018 01 07 12 50  61  7.2  9.0  1.57 11.43  7.34 270 1019.9  11.4  12.9 999.0 99.0 99.00
2018 01 07 13 50  69  5.3  6.4  1.59 12.12  7.19 269 1020.4  11.2  13.0 999.0 99.0 99.00
2018 01 07 14 50  81  6.8  8.7  1.51 10.81  6.86 268 1019.9  11.2  13.0 999.0 99.0 99.00
2018 01 07 15 50  83  7.2  8.8  1.44 12.90  6.52 278 1019.9  10.3  13.0 999.0 99.0 99.00
2018 01 07 16 50  86  7.5  8.9  1.64 12.12  6.63 264 1020.0  10.5  13.0 999.0 99.0 99.00
2018 01 07 17 50  76  6.6  7.6  1.49 12.12  6.71 289 1020.4  10.5  13.0 999.0 99.0 99.00
2018 01 07 18 50  70  6.3  7.7  1.53 12.12  7.09 287 1020.3  11.0  13.0 999.0 99.0 99.00
2018 01 07 19 50  72  7.2  8.4  1.37 10.81  6.67 289 1019.4  11.5  13.0 999.0 99.0 99.00
2018 01 07 20 50  70  6.7  8.1  1.35 11.43  6.66 287 1018.5  11.5  13.0 999.0 99.0 99.00
2018 01 07 21 50  78  6.7  8.2  1.47 10.00  6.98 296 1018.0  11.6  13.1 999.0 99.0 99.00
2018 01 07 22 50  72  6.1  7.4  1.39 12.12  6.78 304 1017.8  11.7  13.1 999.0 99.0 99.00
2018 01 07 23 50  74  5.9  7.2  1.35 10.00  7.06 287 1017.8  11.8  13.2 999.0 99.0 99.00
2018 01 08 00 50  71  5.9  6.9  1.42 10.00  7.27 278 1017.3  11.8  13.2 999.0 99.0 99.00
2018 01 08 01 50  81  5.6  6.7  1.45 10.81  7.34 256 1016.9  12.0  13.2 999.0 99.0 99.00
